code,name,category,subCategory,type,grade,agency,description
1320,정보처리기사,정보통신,정보기술,국가기술자격,기사,한국산업인력공단,정보시스템의 생명주기 전반에 걸친 프로젝트 업무를 수행하는 직무
1321,정보처리산업기사,정보통신,정보기술,국가기술자격,산업기사,한국산업인력공단,정보시스템 개발 및 운영 관련 실무를 수행하는 직무
2290,정보보안기사,정보통신,정보보호,국가기술자격,기사,한국산업인력공단,정보자산 보호를 위한 보안정책 수립 및 관리 직무
2291,정보보안산업기사,정보통신,정보보호,국가기술자격,산업기사,한국산업인력공단,정보보안 실무 및 운영관리 직무
1330,전자계산기기사,정보통신,정보기술,국가기술자격,기사,한국산업인력공단,컴퓨터 시스템 설계 및 개발 직무
1331,전자계산기산업기사,정보통신,정보기술,국가기술자격,산업기사,한국산업인력공단,컴퓨터 시스템 실무 및 운영 직무
2171,전자계산기기능사,정보통신,정보기술,국가기술자격,기능사,한국산업인력공단,컴퓨터 시스템 조작 및 운용 직무
6921,빅데이터분석기사,정보통신,데이터,국가기술자격,기사,한국산업인력공단,빅데이터 수집 가공 분석 및 시각화 직무
2300,네트워크관리사2급,정보통신,네트워크,국가공인민간자격,2급,한국정보통신진흥협회,네트워크 구축 및 운영관리 직무
2301,네트워크관리사1급,정보통신,네트워크,국가공인민간자격,1급,한국정보통신진흥협회,네트워크 설계 및 고급관리 직무
2310,리눅스마스터1급,정보통신,시스템,국가공인민간자격,1급,한국정보통신진흥협회,리눅스 시스템 관리 및 운영 전문가
2311,리눅스마스터2급,정보통신,시스템,국가공인민간자격,2급,한국정보통신진흥협회,리눅스 시스템 기본 운영 및 관리
2320,SQLD,정보통신,데이터베이스,국가공인민간자격,개발자,한국데이터산업진흥원,데이터베이스 설계 및 SQL 활용
2321,SQLP,정보통신,데이터베이스,국가공인민간자격,전문가,한국데이터산업진흥원,데이터베이스 아키텍처 및 최적화
2330,ADsP,정보통신,데이터,국가공인민간자격,준전문가,한국데이터산업진흥원,데이터분석 기획 및 준전문가
2331,ADP,정보통신,데이터,국가공인민간자격,전문가,한국데이터산업진흥원,데이터분석 전문가
7910,컴퓨터활용능력1급,사무,정보기술,국가기술자격,1급,대한상공회의소,스프레드시트 데이터베이스 고급 활용
7911,컴퓨터활용능력2급,사무,정보기술,국가기술자격,2급,대한상공회의소,스프레드시트 기본 활용
7850,워드프로세서,사무,문서작성,국가기술자격,단일등급,대한상공회의소,문서작성 및 편집 실무
7700,전산회계1급,사무,회계,국가공인민간자격,1급,한국세무사회,전산회계 프로그램 활용 및 회계실무
7701,전산회계2급,사무,회계,국가공인민간자격,2급,한국세무사회,전산회계 프로그램 기초 실무
7710,전산세무1급,사무,세무,국가공인민간자격,1급,한국세무사회,세무회계 실무 및 세무신고
7711,전산세무2급,사무,세무,국가공인민간자격,2급,한국세무사회,세무회계 기초 실무
7720,FAT1급,사무,회계,국가공인민간자격,1급,한국공인회계사회,회계정보 분석 및 활용 실무
7721,FAT2급,사무,회계,국가공인민간자격,2급,한국공인회계사회,회계정보 기초 활용
7730,TAT1급,사무,세무,국가공인민간자격,1급,한국공인회계사회,세무정보 분석 및 활용 실무
7731,TAT2급,사무,세무,국가공인민간자격,2급,한국공인회계사회,세무정보 기초 활용
7600,한국사능력검정시험1급,교양,역사,국가공인민간자격,1급,국사편찬위원회,한국사 심화 수준
7601,한국사능력검정시험2급,교양,역사,국가공인민간자격,2급,국사편찬위원회,한국사 기본 수준
7602,한국사능력검정시험3급,교양,역사,국가공인민간자격,3급,국사편찬위원회,한국사 초급 수준
0752,가스기술사,안전관리,가스,국가기술자격,기술사,한국산업인력공단,가스시설 설계 및 안전관리 최고급 기술인력
0753,가스기사,안전관리,가스,국가기술자격,기사,한국산업인력공단,가스시설 설계 시공 및 안전관리
0754,가스산업기사,안전관리,가스,국가기술자격,산업기사,한국산업인력공단,가스시설 시공 및 안전관리 실무
0755,가스기능사,안전관리,가스,국가기술자격,기능사,한국산업인력공단,가스시설 설치 및 유지보수
0740,건설안전기술사,안전관리,건설안전,국가기술자격,기술사,한국산업인력공단,건설현장 안전관리 최고급 기술인력
0741,건설안전기사,안전관리,건설안전,국가기술자격,기사,한국산업인력공단,건설현장 안전관리 및 안전점검
0742,건설안전산업기사,안전관리,건설안전,국가기술자격,산업기사,한국산업인력공단,건설현장 안전관리 실무
0730,산업안전기사,안전관리,산업안전,국가기술자격,기사,한국산업인력공단,산업현장 안전관리 및 재해예방
0731,산업안전산업기사,안전관리,산업안전,국가기술자격,산업기사,한국산업인력공단,산업현장 안전관리 실무
0720,소방설비기사(기계),안전관리,소방,국가기술자격,기사,한국산업인력공단,기계분야 소방설비 설계 및 시공
0721,소방설비기사(전기),안전관리,소방,국가기술자격,기사,한국산업인력공단,전기분야 소방설비 설계 및 시공
0722,소방설비산업기사(기계),안전관리,소방,국가기술자격,산업기사,한국산업인력공단,기계분야 소방설비 시공 실무
0723,소방설비산업기사(전기),안전관리,소방,국가기술자격,산업기사,한국산업인력공단,전기분야 소방설비 시공 실무
0724,위험물기능사,안전관리,위험물,국가기술자격,기능사,한국산업인력공단,위험물 저장 취급 운반
0725,위험물산업기사,안전관리,위험물,국가기술자격,산업기사,한국산업인력공단,위험물 안전관리 실무
0726,위험물기능장,안전관리,위험물,국가기술자격,기능장,한국산업인력공단,위험물 안전관리 최고급 기능인력
0490,건축기사,건설,건축,국가기술자격,기사,한국산업인력공단,건축물 설계 시공 및 감리
0491,건축산업기사,건설,건축,국가기술자격,산업기사,한국산업인력공단,건축물 시공 및 관리 실무
0500,건축구조기술사,건설,건축,국가기술자격,기술사,한국산업인력공단,건축구조 설계 최고급 기술인력
0510,건축시공기술사,건설,건축,국가기술자격,기술사,한국산업인력공단,건축시공 관리 최고급 기술인력
0480,토목기사,건설,토목,국가기술자격,기사,한국산업인력공단,토목구조물 설계 시공 및 감리
0481,토목산업기사,건설,토목,국가기술자격,산업기사,한국산업인력공단,토목구조물 시공 및 관리 실무
0470,토목구조기술사,건설,토목,국가기술자격,기술사,한국산업인력공단,토목구조 설계 최고급 기술인력
0460,측량및지형공간정보기사,건설,측량,국가기술자격,기사,한국산업인력공단,측량 및 공간정보 취득 분석
0461,측량및지형공간정보산업기사,건설,측량,국가기술자격,산업기사,한국산업인력공단,측량 및 공간정보 실무
0462,측량기능사,건설,측량,국가기술자격,기능사,한국산업인력공단,측량 실무 및 기기 운용
0440,조경기사,건설,조경,국가기술자격,기사,한국산업인력공단,조경 설계 시공 및 관리
0441,조경산업기사,건설,조경,국가기술자격,산업기사,한국산업인력공단,조경 시공 및 관리 실무
0442,조경기능사,건설,조경,국가기술자격,기능사,한국산업인력공단,조경 시공 실무
0430,실내건축기사,건설,실내건축,국가기술자격,기사,한국산업인력공단,실내건축 설계 및 시공
0431,실내건축산업기사,건설,실내건축,국가기술자격,산업기사,한국산업인력공단,실내건축 시공 실무
0432,실내건축기능사,건설,실내건축,국가기술자격,기능사,한국산업인력공단,실내건축 시공 기초
0201,전기기사,전기전자,전기,국가기술자격,기사,한국산업인력공단,전기설비 설계 시공 및 감리
0202,전기산업기사,전기전자,전기,국가기술자격,산업기사,한국산업인력공단,전기설비 시공 및 관리 실무
0203,전기기능사,전기전자,전기,국가기술자격,기능사,한국산업인력공단,전기설비 설치 및 유지보수
